epsilon,sigma,f1_seed_42,f1_seed_123,f1_seed_456,f1_seed_789,f1_seed_1000,f1_seed_7,f1_seed_9,f1_seed_342,f1_seed_691,f1_seed_2000,f1_mean,f1_std,acc_seed_42,acc_seed_123,acc_seed_456,acc_seed_789,acc_seed_1000,acc_seed_7,acc_seed_9,acc_seed_342,acc_seed_691,acc_seed_2000,acc_mean,acc_std
inf,0.0000,55.4153,80.0000,55.4645,80.0000,75.6120,65.9819,60.9155,49.6535,60.3938,66.2716,64.9708,10.1064,94.4081,98.1280,94.1740,98.1161,96.7120,91.3315,96.1870,94.6031,97.9216,93.9111,95.5493,2.1257
100.0,0.2422,55.4153,66.2997,65.8089,80.0000,39.4299,50.7756,57.0264,61.7913,60.7101,66.2716,60.3529,10.2631,94.4081,96.2561,96.0521,98.1161,91.9696,91.3315,92.3006,90.1875,96.2443,93.9111,94.0777,2.4507
80.0,0.3028,65.9854,46.2997,65.8089,80.0000,31.0432,32.8250,33.5815,61.7913,60.7101,66.2716,54.4317,16.3253,97.9303,92.5122,96.0521,98.1161,87.2273,87.8641,21.4849,90.1875,96.2443,93.9111,86.1530,21.8737
70.0,0.3461,65.9854,44.4444,65.8089,72.1750,31.6385,32.8250,13.3277,51.0480,65.8290,66.2716,50.9353,18.7422,97.9303,92.5122,96.0521,88.3572,87.2273,87.8641,15.9853,83.9320,96.2443,93.9111,84.0016,23.0873
60.0,0.4037,65.9854,44.4444,65.8089,68.1575,26.7376,67.2694,4.9020,45.7810,65.8290,66.0810,52.0996,20.5477,97.9303,92.5122,96.0521,76.2622,85.6465,91.3315,14.1522,64.2369,96.2443,93.9111,80.8279,24.3822
50.0,0.4845,48.6665,44.4444,65.8089,54.2593,26.7376,27.6873,19.6379,51.0662,49.4786,77.3827,46.5169,17.0043,90.6681,92.5122,96.0521,51.5072,85.6465,71.4979,8.8726,94.7433,94.3847,95.9407,78.1825,26.7367
20.0,1.2112,36.7264,52.7810,60.0666,18.5088,26.7376,0.5779,43.2775,62.4030,9.5759,15.6672,32.6322,20.6303,14.8511,86.3534,94.1357,5.6518,85.6465,1.7337,72.6856,86.5428,30.2279,79.5413,55.7370,35.8560
1.0,24.2240,3.4868,12.8808,0.0695,10.9192,54.2642,12.3416,3.8447,5.7945,4.4492,15.0340,12.3085,14.7425,7.2622,47.4167,0.1533,16.5411,80.9042,3.4674,1.8332,3.5045,9.5716,68.6828,23.9337,28.6855
